"","sampleID","treatmentID.x","species","ironconc","temp","C_Cell","N_Cell"
"1","min-10-26-1","min-10-26","min",10,26,0.000307097026987315,4.26115491991967e-05
"2","min-10-26-2","min-10-26","min",10,26,0.000280530022681151,3.81998328757312e-05
"3","min-10-26-3","min-10-26","min",10,26,0.000280648041842072,3.95458604413828e-05
"4","min-10-28-1","min-10-28","min",10,28,0.000624896265560166,8.3402489626556e-05
"5","min-10-28-2","min-10-28","min",10,28,0.000685238265854532,9.13651021139376e-05
"6","min-10-28-3","min-10-28","min",10,28,0.000530340404538727,7.15342871238283e-05
"7","min-100-26-1","min-100-26","min",100,26,0.000510229496530866,6.72478206724782e-05
"8","min-100-26-2","min-100-26","min",100,26,0.000522988505747126,7.01149425287356e-05
"9","min-100-26-3","min-100-26","min",100,26,0.000485269281291049,7.31844623756802e-05
"10","min-100-28-1","min-100-28","min",100,28,0.000871559633027523,0.000105941459152468
"11","min-100-28-2","min-100-28","min",100,28,0.000797248219025003,0.000101620338036039
"12","min-100-28-3","min-100-28","min",100,28,0.000801453980801807,0.000101637492941841
"13","min-100-30-1","min-100-30","min",100,30,0.000229834008771443,3.66402042968967e-05
"14","min-100-30-2","min-100-30","min",100,30,0.000239588145996964,3.76212791234902e-05
"15","min-100-30-3","min-100-30","min",100,30,0.000286770873938754,6.20045132840549e-05
"16","min-50-26-1","min-50-26","min",50,26,0.000456933758678927,6.38018389941828e-05
"17","min-50-26-2","min-50-26","min",50,26,0.000491071428571428,6.75087108013937e-05
"18","min-50-26-3","min-50-26","min",50,26,0.00044681268482381,6.5053187828754e-05
"19","min-50-28-1","min-50-28","min",50,28,0.000782059585492228,9.47215025906736e-05
"20","min-50-28-2","min-50-28","min",50,28,0.000855555555555555,0.000104444444444444
"21","min-50-28-3","min-50-28","min",50,28,0.000829111008751727,0.000102487333026255
"22","min-50-30-1","min-50-30","min",50,30,0.000204632741238598,2.52040326452232e-05
"23","min-50-30-2","min-50-30","min",50,30,0.00017400474558397,2.90007909306617e-05
"24","min-50-30-3","min-50-30","min",50,30,0.000192746487330371,3.06232736880029e-05
"25","psyg-10-26-1","psyg-10-26","psyg",10,26,0.000575012419274714,8.32091405861898e-05
"26","psyg-10-26-2","psyg-10-26","psyg",10,26,0.000416828227995347,6.30089181853432e-05
"27","psyg-10-26-3","psyg-10-26","psyg",10,26,0.000474416781023329,7.15545971378161e-05
"28","psyg-10-28-1","psyg-10-28","psyg",10,28,0.000556995726196315,7.14636026063196e-05
"29","psyg-10-28-2","psyg-10-28","psyg",10,28,0.00048936877076412,6.27906976744186e-05
"30","psyg-10-28-3","psyg-10-28","psyg",10,28,0.000332273612962773,3.89703620141524e-05
"31","psyg-100-26-1","psyg-100-26","psyg",100,26,0.000661247270080078,9.70638194612958e-05
"32","psyg-100-26-2","psyg-100-26","psyg",100,26,0.000621809744779582,9.16473317865429e-05
"33","psyg-100-26-3","psyg-100-26","psyg",100,26,0.000705142113256672,0.000109568236059883
"34","psyg-100-28-1","psyg-100-28","psyg",100,28,0.000603621730382294,7.54527162977867e-05
"35","psyg-100-28-2","psyg-100-28","psyg",100,28,0.000512788047606989,6.26740947075209e-05
"36","psyg-100-28-3","psyg-100-28","psyg",100,28,0.000585485452762341,7.25727361882968e-05
"37","psyg-100-30-1","psyg-100-30","psyg",100,30,0.000205977382875606,2.4232633279483e-05
"38","psyg-100-30-2","psyg-100-30","psyg",100,30,0.0002702031182061,2.98155164917076e-05
"39","psyg-100-30-3","psyg-100-30","psyg",100,30,0.000333740831295843,4.21760391198044e-05
"40","psyg-50-26-1","psyg-50-26","psyg",50,26,0.0004691181720814,5.67654409139593e-05
"41","psyg-50-26-2","psyg-50-26","psyg",50,26,0.000526188166828322,6.18331716779825e-05
"42","psyg-50-26-3","psyg-50-26","psyg",50,26,0.000488179306109917,5.75683143997544e-05
"43","psyg-50-28-1","psyg-50-28","psyg",50,28,0.000670982931135962,7.94585050029429e-05
"44","psyg-50-28-2","psyg-50-28","psyg",50,28,0.000754568677539792,9.3338573393594e-05
"45","psyg-50-28-3","psyg-50-28","psyg",50,28,0.000624373119358074,7.68973587428953e-05
"46","psyg-50-30-1","psyg-50-30","psyg",50,30,0.000731707317073171,9.74227872590341e-05
"47","psyg-50-30-2","psyg-50-30","psyg",50,30,0.000333538550682649,3.91120124579003e-05
"48","psyg-50-30-3","psyg-50-30","psyg",50,30,0.00028530839351249,3.43317154019178e-05
